Brand,Spare_type,Quantity,Description
ZTE,POWER K,21,Power Card
ZTE,RECTIFIER,6,
ZTE,VOIP,7,
ZTE,GISB,26,
ZTE,GSDLB,1,
ZTE,GTGH,1,
ZTE,ACWK,4,Sub Card
ZTE,SMWG,1,Indoor MSAN Data Card
ZTE,BACK BOARD,1,
ZTE,PEB,7,
ZTE,SEC,18,
ZTE,IEBE,4,
ZTE,IEBD,4,
ZTE,TSLC,5,
ZTE,APTGC,7,
ZTE,ASTGC,9,
ZTE,ATLDI,6,
ZTE,SSTDF,1,
ZTE,SCCT,2,
ZTE,SCCTD,1,
ZTE,SCCBK,2,
ZTE,FAN SET,2,
ZTE,ALARM UNIT,3,
HUAWEI,CAME,8,Sub Card
HUAWEI,SHLM,2,Data Card
HUAWEI,SCUB,1,Control Card
HUAWEI,EMU,1,Environment Monitoring Unit
HUAWEI,DC UNIT,1,DC Distributor Unit
Other,TEMPERATURE SENSOR,1,
Other,SMOKE SENSOR,1,
Other,TEMP & HUMIDITY SENSOR,3,
Other,HEAT EXCHANGE UNIT,3,
